Time (Milliseconds),Input,RPM
1,1,0
5,1,419.3548387
11,1,387.0967742
16,1,490.3225806
21,1,516.1290323
26,1,516.1290323
30,1,677.4193548
35,1,593.5483871
40,1,541.9354839
45,1,567.7419355
50,1,593.5483871
56,1,473.1182796
61,1,593.5483871
66,1,593.5483871
70,1,774.1935484
75,1,593.5483871
80,1,619.3548387
85,1,619.3548387
90,1,619.3548387
96,1,516.1290323
101,1,619.3548387
106,1,619.3548387
111,1,645.1612903
115,1,774.1935484
120,1,645.1612903
125,1,645.1612903
130,1,645.1612903
135,1,645.1612903
141,1,537.6344086
146,1,645.1612903
151,1,645.1612903
156,1,645.1612903
160,1,806.4516129
165,1,670.9677419
170,1,645.1612903
175,1,645.1612903
180,1,670.9677419
186,1,537.6344086
191,1,645.1612903
196,1,645.1612903
200,1,806.4516129
205,1,722.5806452
210,1,645.1612903
215,1,670.9677419
220,1,645.1612903
226,1,559.1397849
231,1,645.1612903
236,1,670.9677419
241,1,645.1612903
245,1,806.4516129
250,1,670.9677419
255,1,645.1612903
260,1,670.9677419
265,1,645.1612903
271,1,537.6344086
276,1,670.9677419
281,1,645.1612903
285,1,806.4516129
290,1,670.9677419
295,1,645.1612903
300,1,722.5806452
305,1,670.9677419
311,1,537.6344086
316,1,670.9677419
321,1,645.1612903
326,1,645.1612903
330,1,838.7096774
335,1,645.1612903
340,1,645.1612903
345,1,670.9677419
350,1,645.1612903
356,1,537.6344086
361,1,670.9677419
366,1,670.9677419
370,1,806.4516129
375,1,670.9677419
380,1,670.9677419
385,1,645.1612903
390,1,670.9677419
396,1,559.1397849
401,1,645.1612903
406,1,670.9677419
411,1,670.9677419
415,1,806.4516129
420,1,645.1612903
425,1,670.9677419
430,1,645.1612903
435,1,645.1612903
441,1,559.1397849
446,1,670.9677419
451,1,645.1612903
455,1,903.2258065
460,1,670.9677419
465,1,645.1612903
470,1,645.1612903
475,1,670.9677419
481,1,537.6344086
486,1,645.1612903
491,1,670.9677419
496,1,670.9677419
500,1,806.4516129
505,1,670.9677419
510,1,670.9677419
515,1,645.1612903
520,1,722.5806452
526,1,559.1397849
531,1,645.1612903
536,1,645.1612903
540,1,838.7096774
545,1,645.1612903
550,1,645.1612903
555,1,670.9677419
560,1,670.9677419
566,1,537.6344086
571,1,619.3548387
576,1,670.9677419
581,1,645.1612903
585,1,806.4516129
590,1,670.9677419
595,1,645.1612903
600,1,645.1612903
605,1,670.9677419
611,1,537.6344086
616,1,645.1612903
621,1,722.5806452
626,1,670.9677419
630,1,806.4516129
635,1,670.9677419
640,1,670.9677419
645,1,645.1612903
651,1,537.6344086
656,1,670.9677419
661,1,645.1612903
666,1,645.1612903
670,1,774.1935484
675,1,670.9677419
680,1,645.1612903
685,1,645.1612903
690,1,670.9677419
696,1,537.6344086
701,1,645.1612903
706,1,670.9677419
711,1,670.9677419
715,1,806.4516129
720,1,722.5806452
725,1,670.9677419
730,1,645.1612903
736,1,537.6344086
741,1,670.9677419
746,1,645.1612903
751,1,645.1612903
755,1,838.7096774
760,1,670.9677419
765,1,645.1612903
770,1,670.9677419
775,1,670.9677419
781,1,537.6344086
786,1,645.1612903
791,1,670.9677419
796,1,645.1612903
800,1,806.4516129
805,1,670.9677419
810,1,645.1612903
815,1,645.1612903
820,1,722.5806452
826,1,559.1397849
831,1,645.1612903
836,1,645.1612903
840,1,838.7096774
845,1,645.1612903
850,1,645.1612903
855,1,670.9677419
860,1,670.9677419
866,1,537.6344086
871,1,645.1612903
876,1,670.9677419
881,1,645.1612903
885,1,806.4516129
890,1,670.9677419
895,1,670.9677419
900,1,645.1612903
905,1,645.1612903
911,1,559.1397849
916,1,645.1612903
921,1,645.1612903
925,1,903.2258065
930,1,670.9677419
935,1,645.1612903
940,1,645.1612903
945,1,670.9677419
951,1,559.1397849
956,1,645.1612903
961,1,722.5806452
966,1,670.9677419
970,1,806.4516129
975,1,645.1612903
980,1,670.9677419
985,1,670.9677419
990,1,645.1612903
996,1,602.1505376
1001,1,670.9677419
